DATE(Power.updateTime)	MAX(Power.northSupply)	MAX(Power.northUsage)	MAX(Power.centerSupply)	MAX(Power.centerUsage)	MAX(Power.southSupply)	MAX(Power.southUsage)	MAX(Power.eastSupply)	MAX(Power.eastUsage)
2016-10-01	943	1099.4	869.9	763.5	1045.2	918.3	13.6	41.8
2016-10-02	872.9	1031.6	828.8	738.5	989.5	889.3	13.5	41.7
2016-10-03	1150.5	1275.4	950.2	820	1083	1038.7	14	46.5
2016-10-04	1139.6	1263	972.5	850.6	1095.8	1059	13.9	47.6
2016-10-05	1150.8	1282.9	966	835.6	1109	1079.4	14.8	46.6
2016-10-06	1099.9	1295.1	988.2	835.6	1146.8	1042.9	13.4	44.7
2016-10-07	1108.1	1222.4	960.3	859	1069.6	997.1	13.9	43.1
2016-10-08	890.7	1041.2	889.5	756.9	980	903.7	14.2	44.5
2016-10-09	739.8	896.2	856.8	684.7	932.8	869.6	14.1	43.8
2016-10-10	837.1	939.2	879.5	711.8	927.6	892.9	14.1	44.6
2016-10-11	1012.7	1153	966.8	827.2	1059.9	1052.8	14.1	45.9
2016-10-12	1011.5	1127.9	938.1	797.1	1086.7	1048.7	14.2	46.4
2016-10-13	1044.8	1114.8	931.1	795.6	1083.1	1054.2	14.1	45.7
2016-10-14	1049.5	1118.2	947.2	783.2	1043.8	1061.8	14	45.8
2016-10-15	957.5	1018.1	892.5	734.3	1035.2	993.7	14.1	47.5
2016-10-16	889	975.3	931.7	714.4	878.5	951.6	14.4	46.2
2016-10-17	1075.3	1225.7	1033.3	848.3	1092.4	1086.8	14.3	47
2016-10-18	1086.3	1251.4	1014.6	842.1	1140.2	1074.8	14.2	48.4
2016-10-19	1089.1	1260.7	1033.2	843.4	1130.6	1077.8	11.4	46.1
2016-10-20	1065	1282.7	1030.2	855.9	1138.5	1055.9	13.3	43.4
2016-10-21	1084.9	1301.1	1079.6	854.4	1171.6	1085	14.4	44.8
2016-10-22	1005.9	1108	894.2	765.6	1061.6	1027.7	14.2	46
2016-10-23	914.3	1018.8	869	726.9	935.7	944	14.2	45.1
2016-10-24	1086.9	1206.4	999.3	834.8	1106.4	1089.8	14.3	45.5
2016-10-25	1096.6	1182.4	952.3	821.2	1114.1	1072.9	14.6	45.2
2016-10-26	1164.3	1296.6	1057.6	854.7	1124.5	1091.5	15.8	45.8
2016-10-27	1141.1	1271.3	1090.4	854.4	1115.9	1098.3	13.9	46.8
2016-10-28	1130.3	1266.1	1004.5	837.4	1094.9	1085.5	13.5	45.6
2016-10-29	953	959.9	854.9	721.5	954.6	973.6	12.6	43.3
2016-10-30	844.4	851.3	833.4	668.3	792.4	898.5	15.4	41.6
2016-10-31	957	960.9	850.9	726.6	963.5	983.1	13.1	44.5
2016-11-01	1012	1041.4	825.3	744.3	1030.8	1030.9	11.1	43.8
2016-11-02	1002.9	1012.9	777.7	727.7	1033.9	1026.5	12.1	44.2
2016-11-03	962.4	1016.3	867.8	741.8	1028.1	1019.5	11	41.2
2016-11-04	978.4	1037.5	893.8	747.4	1014.1	1015.1	7.6	40.4
2016-11-05	886.5	915.8	798.7	690.7	954.7	908.4	7.5	40.8
2016-11-06	788.8	891.6	851	657.3	881.8	902.6	8.8	41
2016-11-07	1017	1100.3	945.7	781.2	1034.4	1017	8.5	41.6
2016-11-08	1023.4	1105.9	910	769.1	1015.5	1044.4	8.5	42.5
2016-11-09	986.5	1022.1	861.4	733.1	1029.3	1010.8	7.5	39
2016-11-10	993.2	1025.2	868.2	788.1	983.8	955.2	10.3	39
2016-11-11	952.1	972.2	862.7	772.2	956.8	971.2	8.2	41.5
2016-11-12	899.9	897.9	790.1	708.7	885.7	888.4	7.7	41
2016-11-13	817.1	900.4	872.5	684.4	815.9	867.4	7.1	43.1
2016-11-14	1052.5	1101.1	918.6	792.8	1003	984.4	6.5	42.9
2016-11-15	1088	1105.7	873.3	805.2	997.4	998.1	5.5	44.5
2016-11-16	1063.9	1103.5	874.5	802.2	1028.6	998	7	42.1
2016-11-17	1038.1	1117.1	939.7	807.6	1012.8	976.8	4.7	43.5
2016-11-18	1055.5	1098.5	885.4	818.6	988.2	962.7	7.1	41.2
2016-11-19	923.5	964	760.2	751.9	1002.3	903.3	7.3	43.8
2016-11-20	770.8	903.7	821	694.1	911.6	858.6	6.3	40
2016-11-21	984.9	1074.1	856.3	802.4	1064.1	975.1	4.7	42.2
2016-11-22	982.4	1096.8	852.2	794.4	1076.1	979.6	6.9	40.8
2016-11-23	958.7	1055.5	798.9	768.6	1043.9	957.2	7.6	39.8
2016-11-24	959.2	1013	760.1	754.2	1088.4	961.8	7.7	38.4
2016-11-25	968.6	1036.9	783.1	781.5	1067.4	937.2	7.2	41.4
2016-11-26	839.6	905.4	672.5	693.2	1036.1	888.9	8.4	42.8
2016-11-27	760.6	845.4	698.5	660.2	926.3	824.2	8.9	40.3
2016-11-28	946.1	988.2	706	743.5	1076.7	932.9	9	41.2
2016-11-29	963.3	1015.3	768.7	784.3	1060	923.9	7.8	40.8
2016-11-30	923	1048.3	829.9	767.5	1033.4	936.6	8.3	40.9
2016-12-01	906.9	1021.1	768.4	729.3	1080.1	969.6	7.9	40.4
2016-12-02	945.7	1011.2	706.8	709.1	1108.2	957.1	6.2	40.6
2016-12-03	835	912.3	630.6	676.2	1077.1	909.9	7.2	41.8
2016-12-04	773.7	886.7	707.1	647.7	942.9	848.7	8.6	40.7
2016-12-05	962.6	1039.7	743.2	740.7	1123.8	980.4	8.7	41.8
2016-12-06	903.7	1024	746.5	716.9	1121	980.4	7.4	39.8
2016-12-07	909.8	1024.7	829.5	750.1	1133.6	973.6	4.8	40.8
2016-12-08	907.2	1037.7	778.9	754.4	1120.3	958.2	4.5	40.4
2016-12-09	939	1016.5	770.1	738	1135	950.4	5.6	42.1
2016-12-10	859	895.1	693.8	675.2	993.7	893.9	5	41.8
2016-12-11	741.3	863.9	764.4	647.6	895.3	838.7	4.4	40
2016-12-12	931.4	1030.8	769.6	745.6	1078.4	946.8	7.8	41.9
2016-12-13	953.8	1024	756.2	745.5	1110.5	971.7	7.6	40.9
2016-12-14	891.7	1010.6	781.5	716.7	1105	969.5	4.3	41.9
2016-12-15	897.7	995.1	731.9	716.9	1095.3	949.6	6.2	40.5
2016-12-16	889.2	972.5	730.2	703.7	1094.6	956.7	4.2	38.1
2016-12-17	788.5	874.4	704.1	675.6	996	875.4	4.8	40.4
2016-12-18	700.6	858.2	756.3	633.1	934.4	844.4	6.1	38.1
2016-12-19	873.8	1029.6	794.2	747.3	1117.1	956.4	7.8	40.3
2016-12-20	942.3	1060.4	860.3	768.3	1104.8	972.4	7.6	41.5
2016-12-21	937.1	1087.4	838.6	748.1	1106.7	993.5	3.2	43.4
2016-12-22	924.5	1048.1	835.3	725.1	1098.8	1002.3	3.2	43.6
